id,location,state,year_sanction,faculty_sanctioned,faculty_position,mbbs_sanctioned,mbbs_total,project_cost_approved,funds_released,opd_patients_2019_on,ipd_patients_2019_on,latitude,longitude
1,New Delhi,Delhi,1956,1207,842,132,742,1593,1302,6631623,505602,28.56661602,77.20881848
2,Bhopal,Madhya Pradesh,2012,305,217,125,697,820,820,2560247,128739,23.20893408,77.45820493
3,Bhubaneswar,Odisha,2012,315,244,125,599,820,820,4073069,131116,20.23157829,85.7744501
4,Jodhpur,Rajasthan,2012,305,227,125,700,820,820,2822047,294712,26.23945717,73.00682558
5,Patna,Bihar,2012,305,241,125,720,820,820,2946136,146580,25.55974185,85.04238783
6,Raipur,Chhattisgarh,2012,305,188,125,598,820,820,2435708,145206,21.25601536,81.57793583
7,Rishikesh,Uttarakhand,2012,305,213,125,598,820,820,2638080,229814,30.07672221,78.28324679
8,Raebareli,Uttar Pradesh,2009,201,102,100,448,823,665,926496,14494,26.17922826,81.24358344
9,Mangalagiri,Andhra Pradesh,2015,183,134,125,599,1618,1326.92,1356704,16665,16.44594821,80.58641201
10,Nagpur,Maharashtra,2015,298,152,125,649,1577,1235.04,1104851,38888,21.03809028,79.02505208
11,Kalyani,West Bengal,2015,259,117,125,549,1754,1385.21,607381,6339,22.97144561,88.52622087
12,Gorakhpur,Uttar Pradesh,2016,183,104,125,550,1011,901.47,1758590,14800,26.74644404,83.41962145
13,Bathinda,Punjab,2016,209,151,100,448,925,826.43,1274819,40618,30.16044266,74.92782846
14,Deoghar,Jharkhand,2018,183,110,125,460,1103,946.44,281893,1430,24.43589135,86.61332699
15,Bibinagar,Telengana,2018,183,109,100,411,1365.95,524.87,556217,6641,17.47115241,78.77746554
16,Bilaspur,Himachal Pradesh,2018,194,96,100,299,1471.04,1430.38,249174,16206,31.285416,76.78407379
17,Jammu,Jammu and Kashmir,2019,183,83,62,233,1661,1484.37,0,0,32.56354389,75.03569448
18,Madurai,Tamilnadu,2018,183,47,50,147,1977.8,18.37,0,0,9.882939305,78.00603844
19,Rajkot,Gujarat,2019,183,70,50,200,1195,833.57,114719,0,22.3688522,70.74666299
20,Guwahati,Assam,2017,183,91,100,294,1123,916.75,165255,604,26.25439613,91.69758752
21,Awantipora,Jammu and Kashmir,2019,0,0,0,0,1828,923.67,0,0,33.94006142,75.01989438
22,Darbhanga,Bihar,2020,0,0,0,0,1264,0,0,0,26.13074683,85.89697893
23,Rewari,Haryana,2019,0,0,0,0,1374,11.03,0,0,28.15022503,76.42492287
