asiad,events,gold,silver,bronze,total,year
1951,57,57,57,55,169,NA
1954,77,77,77,75,229,NA
1958,112,112,112,126,350,NA
1962,120,120,122,130,372,NA
1966,140,140,140,170,450,NA
1970,135,137,133,153,423,NA
1974,200,202,199,208,609,NA
1978,199,201,199,226,626,NA
1982,196,199,200,215,614,NA
1986,269,270,268,310,848,NA
1990,308,310,309,357,976,NA
1994,338,339,337,403,1079,NA
1998,377,378,380,467,1225,NA
2002,419,427,421,502,1350,NA
2006,424,428,423,542,1393,NA
2010,476,477,479,621,1577,NA
2014,439,439,445,575,1459,NA
2018,465,464,465,622,1551,NA
NA,NA,482,480,631,1593,2023
