Rank,,Username,Country,distance_travelled_km
1,,gordonsmummy, New Zealand,"24,57,38,059"
2,,iwang, Australia,"22,04,34,506"
3,, SonOfBilly, New Zealand,"20,14,76,456"
4,,Gordon, New Zealand,"18,39,39,663"
5,, Wallaby_Whisperer, Australia,"17,65,09,872"
6,,sktour, Japan,"16,32,65,838"
7,,IndigoAngel, Australia,"16,00,07,059"
8,, Shelleh, U.S.A.,"15,65,38,006"
9,,y12315259, Japan,"15,40,55,084"
10,, South_of_Eden, Australia,"15,22,12,485"
11,, suegathman, U.S.A.,"15,07,25,258"
12,, BeckyS, U.S.A.,"14,27,47,766"
13,, WattlePark, Australia,"13,86,70,084"
14,, Telopea, Australia,"13,79,02,649"
15,,Chiu-Chiu, Taiwan,"13,20,84,522"
16,, hmthompson, U.S.A.,"12,94,59,370"
17,, tilly30318, U.S.A.,"12,79,58,639"
18,, lyo, Japan,"12,61,58,738"
19,, DosRobles, U.S.A.,"12,54,60,841"
20,,snakedoctor, U.S.A.,"12,52,45,781"
21,, Willi, Germany,"12,44,85,800"
22,,OrangeSunshine, U.S.A.,"12,43,16,717"
23,,moonlessnite, Canada,"12,15,53,482"
24,, JonathanChua, Singapore,"12,06,79,972"
25,,klausdiemaus, Germany,"11,71,21,459"
26,, carolreader, U.S.A.,"11,70,69,826"
27,,peifern, Malaysia,"11,31,77,096"
28,,Minna71, Finland,"11,25,66,498"
29,, mfeda, U.S.A.,"11,10,83,755"
30,,samquito, U.S.A.,"10,96,41,458"
31,, Nordbaer, Germany,"10,80,08,659"
32,, ned44440, Ireland,"10,21,21,224"
33,,SuzyDoozy, New Zealand,"10,17,28,707"
34,, newrule, Malaysia,"10,03,19,766"
35,, lfeda, U.S.A.,"10,02,38,701"
36,,mcbuchanan, Canada,"9,80,30,431"
37,,kkkhor, Malaysia,"9,76,06,141"
38,,QHasami, Japan,"9,70,91,719"
39,, sasori1027, Japan,"9,65,50,040"
40,,sarsy, Australia,"9,63,14,691"
41,,Antje321, Germany,"9,45,20,897"
42,, disisdi, Australia,"9,38,18,602"
43,,geocarrick, U.S.A.,"9,32,09,975"
44,,deb0rahanne, Australia,"9,29,55,761"
45,, karenk, Australia,"9,16,89,114"
46,, iloveham, Thailand,"9,04,64,094"
47,,sheluna, Japan,"9,03,97,068"
48,,jwhite, U.S.A.,"9,01,69,547"
49,,mii00017, Japan,"8,96,43,378"
50,,judare, U.S.A.,"8,94,48,550"
51,, rosenbusch, Germany,"8,94,02,947"
52,,motherbrando, U.S.A.,"8,92,20,998"
53,, ASColin, Singapore,"8,87,52,042"
54,,fluffernutter, Japan,"8,87,20,340"
55,,RuskiG, U.S.A.,"8,83,09,014"
56,, emotis, U.S.A.,"8,63,45,168"
57,, fisherman, Ireland,"8,56,86,998"
58,,luiskalife, Brazil,"8,53,98,704"
59,, uttia4a, Germany,"8,35,23,653"
60,, BarbSchmidt, U.S.A.,"8,29,43,536"
61,, ruth707, U.S.A.,"8,28,48,957"
62,, rosscott, Australia,"8,28,31,115"
63,,mattcorey, U.S.A.,"8,23,84,384"
64,,leengiankai, Singapore,"8,15,98,900"
65,,lowinsohn, Brazil,"8,00,36,976"
66,, janie55, U.S.A.,"7,99,29,347"
67,,LarryHidingHawk, U.S.A.,"7,97,54,224"
68,,kkk, Malaysia,"7,89,50,899"
69,,PeggyLoh, Singapore,"7,85,60,211"
70,, artlover, Finland,"7,80,40,351"
71,,ninetails, Japan,"7,79,83,751"
72,, tomphila, U.S.A.,"7,76,55,046"
73,,acassin, Australia,"7,76,14,940"
74,,kizuna, Japan,"7,72,39,630"
75,,bogdanovskaya, Spain,"7,71,94,701"
76,,hepman, Germany,"7,70,81,623"
77,, elbe, Germany,"7,56,86,695"
78,,Felice1959, U.S.A.,"7,56,15,320"
79,,ferro, Belgium,"7,55,40,635"
80,, jwnewman53, U.S.A.,"7,53,39,010"
81,, mapcardcollector, United Kingdom,"7,49,51,907"
82,, LimeSherbet, U.S.A.,"7,39,98,254"
83,, Brooks_of_Sheffield, U.S.A.,"7,35,99,308"
84,,kyoto348, Japan,"7,35,16,201"
85,,pveejay, New Zealand,"7,34,22,761"
86,,louisehei, Hong Kong,"7,26,56,646"
87,,richardlater, Canada,"7,23,58,082"
88,,nephthys51, Australia,"7,22,28,489"
89,,ceoramalho, Brazil,"7,19,28,441"
90,, chrissybaby, Ireland,"7,18,75,818"
91,, TimSarah, Germany,"7,14,40,293"
92,, DocSchuette, Germany,"7,11,96,587"
93,,nitanaught, Australia,"7,11,44,800"
94,,seascape327, U.S.A.,"7,06,28,809"
95,, rainbowscuba, U.S.A.,"7,04,77,409"
96,,Richardnow, U.S.A.,"7,04,36,941"
97,,ezredax, U.S.A.,"7,03,04,988"
98,,nunoftferreira, Portugal,"7,01,04,837"
99,,elpslim, Singapore,"6,96,98,872"
100,,si_uned, Indonesia,"6,94,87,095"
