Rank,,Username,Country,postcards_sent_in_last_60_days
1,,Djain, U.S.A.,494
2,, BeckyS, U.S.A.,462
3,, suegathman, U.S.A.,453
4,, Shelleh, U.S.A.,452
5,,christelvonderpost, U.S.A.,407
6,, ennasor, U.S.A.,384
7,,M-Hamilton, U.S.A.,359
8,, RomaandPaul, U.S.A.,350
9,, uttia4a, Germany,350
10,, tilly30318, U.S.A.,345
11,,snakedoctor, U.S.A.,345
12,, clbrown, U.S.A.,342
13,,candisk, U.S.A.,335
14,, tomphila, U.S.A.,335
15,,EFR, Canada,335
16,, Cyranthus, Germany,334
17,, ned44440, Ireland,331
18,, elbe, Germany,331
19,, uconn, U.S.A.,331
20,,renegade_cavalcade, Canada,331
21,,Piipi22, Finland,330
22,,LarryHidingHawk, U.S.A.,329
23,,Manu86, Germany,328
24,,JazzyRose81689, U.S.A.,326
25,, jwnewman53, U.S.A.,326
26,,Sidolix, Germany,324
27,, ho-modellfan, Germany,323
28,, CarminaBurana, Canada,318
29,, ThoreWeiss, Germany,317
30,,kathilo, U.S.A.,315
31,,OlafArens, Germany,315
32,, DJHK, Germany,313
33,,mcbuchanan, Canada,312
34,,tiinama, Finland,310
35,, Ramya, U.S.A.,309
36,,sarmas, Finland,309
37,, Willi, Germany,308
38,,seascape327, U.S.A.,307
39,,kgcgkg, Germany,307
40,, Lakewood44, Germany,306
41,,Hurbig, Switzerland,305
42,,Antje321, Germany,304
43,,SMatti, Finland,303
44,,diams1, Switzerland,303
45,, radiofan, Austria,302
46,,klausdiemaus, Germany,300
47,,SusanneMartijn, Netherlands,299
48,, mfeda, U.S.A.,299
49,, janie55, U.S.A.,297
50,, estherkurz, Germany,295
51,,Felice1959, U.S.A.,292
52,, reinholdo, Germany,290
53,, sonataca, U.S.A.,290
54,, Mollymoritz, Germany,288
55,,Eckhardt, Germany,288
56,,honeybee, Austria,287
57,,haweiup, Austria,286
58,, heidilura, Norway,286
59,,onecleverkid, U.S.A.,285
60,, Siegie, Germany,284
61,, Silke45, Germany,284
62,,runokuono, Finland,282
63,, Tinaigbi, Germany,282
64,,hepman, Germany,282
65,,hortenzia, Slovakia,281
66,,bas31, Czechia,281
67,, freddybear, Netherlands,280
68,,ave, U.S.A.,280
69,, Sollozzo, U.S.A.,279
70,,Schnaufi, Germany,278
71,, carolreader, U.S.A.,278
72,, lehvo21, Cyprus,277
73,,sktour, Japan,276
74,,HalfMoon2018, Germany,274
75,,Heike1966, Germany,274
76,,MrMopar, U.S.A.,273
77,, lyo, Japan,273
78,,meuamor, Portugal,272
79,,Batsy, Germany,271
80,, tullipan, Germany,271
81,,Flicki, Germany,270
82,,Hellevi, Finland,270
83,, Zwollywood, Netherlands,268
84,, mapcardcollector, United Kingdom,267
85,,bunnycat24, U.S.A.,266
86,,samquito, U.S.A.,266
87,,schneggisabrina, Switzerland,266
88,,mattcorey, U.S.A.,266
89,,PeggyLoh, Singapore,264
90,,Emillio, Czechia,264
91,, PHILATELY07, U.S.A.,263
92,,vauka, Germany,263
93,,moseandmiao, U.S.A.,261
94,,tazzini, U.S.A.,261
95,, MerlinM, Germany,260
96,, sasori1027, Japan,260
97,,Bock, Austria,260
98,, jjv, Netherlands,260
99,, almex, Germany,259
100,,ysfan, U.S.A.,259
